vsw_id,profile_HIGH_values,scenario_id,theme_id,scenario_brief,A0_text,A1_text,condition,modifier_text,pressured_values,llm_decision,llm_confidence,llm_driving_values,llm_reasoning,dp_score_A0,dp_score_A1,dp_decision,llm_dp_agree,llm_changed_from_baseline,dp_changed_from_baseline,llm_change_explanation,axis,profile_strength
VSW_0000,ALL-LOW,SC001_1,TH001,A local community center receives a grant to support either a new after-school p…,fund the after-school program,upgrade the facility's security systems,BASELINE,,,A0,low,,"With no strongly held values driving the decision, the person defaults to a mildly arbitrary choice, leaning slightly toward the program option since security concerns don't resonate given their low security value.",0.0,0.0,TIE,NO,,,,BASELINE,0
VSW_0000,ALL-LOW,SC001_1,TH001,A local community center receives a grant to support either a new after-school p…,fund the after-school program,upgrade the facility's security systems,MOD_SC001_1_01,"The community center has recently experienced minor safety incidents, raising some concern among staff and visitors.",Security,A0,low,low security priority; low universalism,"Since this person places little value on security or stability, the safety incidents don't strongly motivate them, so they default to the other option without strong conviction either way.",0.0,0.5,A1,NO,NO,YES,,self_preservation,0
VSW_0000,ALL-LOW,SC001_1,TH001,A local community center receives a grant to support either a new after-school p…,fund the after-school program,upgrade the facility's security systems,MOD_SC001_1_02,"The grant is the only new funding expected for the center this year, and additional resources are unlikely.",Power + Achievement,A0,low,low security priority; low conformity,"Since the person places little value on security or stability, they lean toward the after-school program almost by default rather than out of strong conviction.",0.0,0.0,TIE,NO,NO,NO,,resource_scarcity,0
VSW_0000,ALL-LOW,SC001_1,TH001,A local community center receives a grant to support either a new after-school p…,fund the after-school program,upgrade the facility's security systems,MOD_SC001_1_03,Local media outlets have announced they will report on the project selected for funding.,Conformity + Power,A0,low,low overall value investment; minimal preference,"With no strong values driving security, achievement, or benevolence concerns, the person defaults to a low-effort, arbitrary preference for the after-school program without deep conviction.",0.0,0.5,A1,NO,NO,YES,,social_visibility,0
VSW_0000,ALL-LOW,SC001_1,TH001,A local community center receives a grant to support either a new after-school p…,fund the after-school program,upgrade the facility's security systems,MOD_SC001_1_04,Some community members advocating for each project are from neighborhoods with different backgrounds and interests.,Tradition + Universalism,A0,low,,"With no strong value priorities pulling in either direction, the person defaults to a low-effort, arbitrary choice like funding the after-school program without deep conviction.",0.5,0.0,A0,YES,NO,YES,,in_out_group,0
VSW_0000,ALL-LOW,SC001_1,TH001,A local community center receives a grant to support either a new after-school p…,fund the after-school program,upgrade the facility's security systems,MOD_SC001_1_05,The grant must be allocated within a short window or the funds will be redirected elsewhere.,Achievement + Security,A0,low,low security priority; low conformity,"Since the person doesn't particularly value security or stability, they lean toward the after-school program almost by default without strong conviction either way.",0.0,0.5,A1,NO,NO,YES,,time_pressure,0
VSW_0000,ALL-LOW,SC001_1,TH001,A local community center receives a grant to support either a new after-school p…,fund the after-school program,upgrade the facility's security systems,MOD_SC001_1_06,Several board members are also involved in the decision and have expressed willingness to support either option.,Benevolence,A0,low,low security priority; indifference,"Since the person places little value on security or stability, they lean toward the after-school program by default rather than any strong personal conviction.",0.5,0.0,A0,YES,NO,YES,,diffused_responsibility,0
VSW_0000,ALL-LOW,SC001_1,TH001,A local community center receives a grant to support either a new after-school p…,fund the after-school program,upgrade the facility's security systems,MOD_SC001_1_07,You have limited experience with grant allocation decisions and are unsure which project will have the greatest impact.,Self-Direction + Security,A0,low,low security priority; indifference,"Since security and stability aren't personally valued, there's little pull toward the security upgrade, so the person defaults to a mild, arbitrary preference for the after-school program without strong conviction either way.",0.0,0.5,A1,NO,NO,YES,,competence_uncertainty,0
VSW_0000,ALL-LOW,SC001_1,TH001,A local community center receives a grant to support either a new after-school p…,fund the after-school program,upgrade the facility's security systems,MOD_SC001_1_08,The center's director has stated a preference for following the established funding guidelines.,Conformity + Tradition,A1,low,Security; Conformity,"With no strong personal values driving the decision, the person defaults to the director's stated preference for following established guidelines, which nominally favors the more structurally cautious security upgrade option.",0.0,0.5,A1,YES,YES,YES,"[A0→A1] Pressured: Conformity, Tradition | LLM reason: With no strong personal values driving the decision, the person defaults to the director's stated preference for following established guidelines, which nominally favors the more structurally cautious security upgrade option.",authority_signal,0
VSW_0000,ALL-LOW,SC001_2,TH001,A neighborhood association has a limited budget to allocate for the coming year.…,support the citywide food pantry,maintain neighborhood watch patrols,BASELINE,,,A1,low,Security; Self-Direction,"With no strong values driving concern for others' welfare or broader universalist causes, the person defaults to the option with more immediate, tangible local relevance rather than an abstract citywide benefit.",0.0,0.0,TIE,NO,,,,BASELINE,0
