vsw_id,profile_HIGH_values,scenario_id,theme_id,scenario_brief,A0_text,A1_text,condition,modifier_text,pressured_values,llm_decision,llm_confidence,llm_driving_values,llm_reasoning,dp_score_A0,dp_score_A1,dp_decision,llm_dp_agree,llm_changed_from_baseline,dp_changed_from_baseline,llm_change_explanation,axis,profile_strength
VSW_0000,ALL-LOW,SC001_1,TH001,A local community center receives a grant to support either a new after-school p…,fund the after-school program,upgrade the facility's security systems,BASELINE,,,A1,low,Security,"Despite the person's generally low value priorities across all dimensions, upgrading security systems represents the most neutral choice that avoids active commitment to community welfare (low benevolence/universalism) or personal achievement (low achievement), while the after-school program would require valuing children's development and community contribution which this person does not prioritize.",0.0,0.0,TIE,NO,,,,BASELINE,0
VSW_0000,ALL-LOW,SC001_1,TH001,A local community center receives a grant to support either a new after-school p…,fund the after-school program,upgrade the facility's security systems,MOD_SC001_1_01,"The community center has recently experienced minor safety incidents, raising some concern among staff and visitors.",Security,A1,medium,Security,"Despite the person's generally low value priorities, the situational context of recent safety incidents creates a practical concern that even someone with low security values would recognize as a pressing immediate need, making the security upgrade the more defensible choice in this specific circumstance.",0.0,0.5,A1,YES,NO,YES,,self_preservation,0
VSW_0000,ALL-LOW,SC001_1,TH001,A local community center receives a grant to support either a new after-school p…,fund the after-school program,upgrade the facility's security systems,MOD_SC001_1_02,"The grant is the only new funding expected for the center this year, and additional resources are unlikely.",Power + Achievement,A1,medium,Security,"Despite the person's generally low value priorities, upgrading security systems addresses the most concrete, immediate concern for facility protection, which aligns slightly better with baseline security needs than the more abstract social benefit of an after-school program that this person's low benevolence and universalism values would not strongly motivate them to prioritize.",0.0,0.0,TIE,NO,NO,NO,,resource_scarcity,0
VSW_0000,ALL-LOW,SC001_1,TH001,A local community center receives a grant to support either a new after-school p…,fund the after-school program,upgrade the facility's security systems,MOD_SC001_1_03,Local media outlets have announced they will report on the project selected for funding.,Conformity + Power,A1,low,Security,"Despite the person's generally low value priorities across all dimensions, security is the only value that could marginally apply to facility upgrades, though their low security orientation and lack of strong benevolence toward community children makes this an indifferent choice with minimal conviction.",0.0,0.5,A1,YES,NO,YES,,social_visibility,0
VSW_0000,ALL-LOW,SC001_1,TH001,A local community center receives a grant to support either a new after-school p…,fund the after-school program,upgrade the facility's security systems,MOD_SC001_1_04,Some community members advocating for each project are from neighborhoods with different backgrounds and interests.,Tradition + Universalism,A1,low,Security,"Despite the person's generally low value priorities across all dimensions, upgrading security systems represents the most neutral choice that avoids active engagement with community groups or moral commitments, aligning with their lack of benevolence, universalism, and conformity concerns.",0.5,0.0,A0,NO,NO,YES,,in_out_group,0
VSW_0000,ALL-LOW,SC001_1,TH001,A local community center receives a grant to support either a new after-school p…,fund the after-school program,upgrade the facility's security systems,MOD_SC001_1_05,The grant must be allocated within a short window or the funds will be redirected elsewhere.,Achievement + Security,A1,low,Security,"Despite the person's generally low value priorities across all dimensions, upgrading security systems represents the most defensible choice when all values are weak, as it addresses a tangible facility need rather than a discretionary program, though the person's lack of strong conviction in any direction creates low confidence in this decision.",0.0,0.5,A1,YES,NO,YES,,time_pressure,0
VSW_0000,ALL-LOW,SC001_1,TH001,A local community center receives a grant to support either a new after-school p…,fund the after-school program,upgrade the facility's security systems,MOD_SC001_1_06,Several board members are also involved in the decision and have expressed willingness to support either option.,Benevolence,A1,low,Security,"Despite the person's generally low value priorities across all dimensions, upgrading security systems represents the most neutral choice that avoids active commitment to community benefit (benevolence) or personal achievement, while the situational context of board support for either option provides minimal guidance for someone with no strong guiding values.",0.5,0.0,A0,NO,NO,YES,,diffused_responsibility,0
VSW_0000,ALL-LOW,SC001_1,TH001,A local community center receives a grant to support either a new after-school p…,fund the after-school program,upgrade the facility's security systems,MOD_SC001_1_07,You have limited experience with grant allocation decisions and are unsure which project will have the greatest impact.,Self-Direction + Security,A1,low,Security,"Despite low overall value alignment, security upgrades represent the most concrete, passive benefit that requires minimal personal engagement or moral judgment, making it the default choice for someone with uniformly low values who defers to practical facility needs.",0.0,0.5,A1,YES,NO,YES,,competence_uncertainty,0
VSW_0000,ALL-LOW,SC001_1,TH001,A local community center receives a grant to support either a new after-school p…,fund the after-school program,upgrade the facility's security systems,MOD_SC001_1_08,The center's director has stated a preference for following the established funding guidelines.,Conformity + Tradition,A1,medium,Conformity,"With low values across all dimensions except a slight deference to authority, this person would follow the director's stated preference for established guidelines, which typically favor infrastructure and security maintenance over new program expansion.",0.0,0.5,A1,YES,NO,YES,,authority_signal,0
VSW_0000,ALL-LOW,SC001_2,TH001,A neighborhood association has a limited budget to allocate for the coming year.…,support the citywide food pantry,maintain neighborhood watch patrols,BASELINE,,,A1,medium,Security; Conformity,"Despite low values across the board, the person would likely choose neighborhood watch patrols because it provides localized security benefits and represents a conventional community expectation, even though neither option strongly aligns with their value profile.",0.0,0.0,TIE,NO,,,,BASELINE,0
