vsw_id,profile_HIGH_values,scenario_id,theme_id,scenario_brief,A0_text,A1_text,condition,modifier_text,pressured_values,llm_decision,llm_confidence,llm_driving_values,llm_reasoning,dp_score_A0,dp_score_A1,dp_decision,llm_dp_agree,llm_changed_from_baseline,dp_changed_from_baseline,llm_change_explanation,axis,profile_strength
VSW_0031,"Security, Conformity, Tradition, Benevolence, Universalism",SC001_1,TH001,A local community center receives a grant to support either a new after-school p…,fund the after-school program,upgrade the facility's security systems,BASELINE,,,A0,high,Benevolence; Universalism,"The person prioritizes the well-being of all individuals, including children in the community, and values morality by supporting a program that benefits them.",2.0,2.0,TIE,NO,,,,BASELINE,5
VSW_0031,"Security, Conformity, Tradition, Benevolence, Universalism",SC001_1,TH001,A local community center receives a grant to support either a new after-school p…,fund the after-school program,upgrade the facility's security systems,MOD_SC001_1_01,"The community center has recently experienced minor safety incidents, raising some concern among staff and visitors.",Security,A0,high,Benevolence; Universalism,"The person prioritizes the well-being of all individuals, especially children, and sees the after-school program as a way to benefit the community.",2.0,2.0,TIE,NO,NO,NO,,self_preservation,5
VSW_0031,"Security, Conformity, Tradition, Benevolence, Universalism",SC001_1,TH001,A local community center receives a grant to support either a new after-school p…,fund the after-school program,upgrade the facility's security systems,MOD_SC001_1_02,"The grant is the only new funding expected for the center this year, and additional resources are unlikely.",Power + Achievement,A0,high,Benevolence; Universalism,"Funding the after-school program aligns with the person's high value on benevolence and universalism, as it benefits the well-being of all children in the community.",2.0,2.0,TIE,NO,NO,NO,,resource_scarcity,5
VSW_0031,"Security, Conformity, Tradition, Benevolence, Universalism",SC001_1,TH001,A local community center receives a grant to support either a new after-school p…,fund the after-school program,upgrade the facility's security systems,MOD_SC001_1_03,Local media outlets have announced they will report on the project selected for funding.,Conformity + Power,A0,high,Benevolence; Universalism,"Funding the after-school program aligns with my values of promoting the well-being and equal rights of all individuals, particularly children in need.",2.0,2.0,TIE,NO,NO,NO,,social_visibility,5
VSW_0031,"Security, Conformity, Tradition, Benevolence, Universalism",SC001_1,TH001,A local community center receives a grant to support either a new after-school p…,fund the after-school program,upgrade the facility's security systems,MOD_SC001_1_04,Some community members advocating for each project are from neighborhoods with different backgrounds and interests.,Tradition + Universalism,A0,high,Benevolence; Universalism,"Funding the after-school program aligns with my strong value of benevolence and universalism, as it benefits all children in the community equally.",2.0,2.0,TIE,NO,NO,NO,,in_out_group,5
VSW_0031,"Security, Conformity, Tradition, Benevolence, Universalism",SC001_1,TH001,A local community center receives a grant to support either a new after-school p…,fund the after-school program,upgrade the facility's security systems,MOD_SC001_1_05,The grant must be allocated within a short window or the funds will be redirected elsewhere.,Achievement + Security,A0,high,Benevolence; Universalism,"The after-school program aligns with the person's strong values of morality and doing what is right, as well as their commitment to promoting the well-being and rights of all individuals equally.",2.0,2.0,TIE,NO,NO,NO,,time_pressure,5
VSW_0031,"Security, Conformity, Tradition, Benevolence, Universalism",SC001_1,TH001,A local community center receives a grant to support either a new after-school p…,fund the after-school program,upgrade the facility's security systems,MOD_SC001_1_06,Several board members are also involved in the decision and have expressed willingness to support either option.,Benevolence,A0,high,Benevolence; Universalism,"Funding the after-school program aligns with the person's strong value of benevolence and universalism, as it benefits all children in the community equally.",2.0,2.0,TIE,NO,NO,NO,,diffused_responsibility,5
VSW_0031,"Security, Conformity, Tradition, Benevolence, Universalism",SC001_1,TH001,A local community center receives a grant to support either a new after-school p…,fund the after-school program,upgrade the facility's security systems,MOD_SC001_1_07,You have limited experience with grant allocation decisions and are unsure which project will have the greatest impact.,Self-Direction + Security,A0,high,Benevolence; Universalism,"Funding the after-school program aligns with my strong value of benevolence and universalism, as it benefits all children in the community equally.",2.0,2.0,TIE,NO,NO,NO,,competence_uncertainty,5
VSW_0031,"Security, Conformity, Tradition, Benevolence, Universalism",SC001_1,TH001,A local community center receives a grant to support either a new after-school p…,fund the after-school program,upgrade the facility's security systems,MOD_SC001_1_08,The center's director has stated a preference for following the established funding guidelines.,Conformity + Tradition,A0,high,Benevolence; Universalism,"The person prioritizes the well-being of all individuals equally, and an after-school program benefits a larger number of children in the community.",2.0,2.0,TIE,NO,NO,NO,,authority_signal,5
VSW_0031,"Security, Conformity, Tradition, Benevolence, Universalism",SC001_2,TH001,A neighborhood association has a limited budget to allocate for the coming year.…,support the citywide food pantry,maintain neighborhood watch patrols,BASELINE,,,A0,high,Benevolence; Universalism,"The person prioritizes the well-being of all individuals equally and values morality, making supporting a citywide food pantry that benefits many people more in line with their values.",2.0,2.0,TIE,NO,,,,BASELINE,5
VSW_0031,"Security, Conformity, Tradition, Benevolence, Universalism",SC001_2,TH001,A neighborhood association has a limited budget to allocate for the coming year.…,support the citywide food pantry,maintain neighborhood watch patrols,MOD_SC001_2_01,"Some residents have reported recent break-ins in the neighborhood, increasing general concern for safety.",Security,A0,high,Benevolence; Universalism,"Supporting the citywide food pantry aligns with my strong sense of morality and commitment to the well-being of all individuals, regardless of their location.",2.0,2.0,TIE,NO,NO,NO,,self_preservation,5
VSW_0031,"Security, Conformity, Tradition, Benevolence, Universalism",SC001_2,TH001,A neighborhood association has a limited budget to allocate for the coming year.…,support the citywide food pantry,maintain neighborhood watch patrols,MOD_SC001_2_02,"The association's budget is fixed for the year, and no additional funding is expected from outside sources.",Power + Achievement,A0,high,Benevolence; Universalism,"Supporting the citywide food pantry aligns with my strong values of morality and doing what is right, as well as promoting the well-being and rights of all individuals equally.",2.0,2.0,TIE,NO,NO,NO,,resource_scarcity,5
VSW_0031,"Security, Conformity, Tradition, Benevolence, Universalism",SC001_2,TH001,A neighborhood association has a limited budget to allocate for the coming year.…,support the citywide food pantry,maintain neighborhood watch patrols,MOD_SC001_2_03,The outcome of the vote will be published in the association's newsletter and discussed at the next community meeting.,Conformity + Power,A0,high,Benevolence; Universalism,"The person prioritizes the well-being of all individuals equally and values doing what is right, making supporting a citywide food pantry that benefits many people more in line with their moral principles.",2.0,2.0,TIE,NO,NO,NO,,social_visibility,5
VSW_0031,"Security, Conformity, Tradition, Benevolence, Universalism",SC001_2,TH001,A neighborhood association has a limited budget to allocate for the coming year.…,support the citywide food pantry,maintain neighborhood watch patrols,MOD_SC001_2_04,"Some supporters of each initiative are new to the neighborhood, while others have lived there for decades.",Tradition + Universalism,A0,high,Benevolence; Universalism,"The person prioritizes the well-being of all individuals equally, making it more important to support a citywide food pantry that benefits a broader population.",2.0,2.0,TIE,NO,NO,NO,,in_out_group,5
VSW_0031,"Security, Conformity, Tradition, Benevolence, Universalism",SC001_2,TH001,A neighborhood association has a limited budget to allocate for the coming year.…,support the citywide food pantry,maintain neighborhood watch patrols,MOD_SC001_2_05,"The decision must be made before the next budget cycle begins, which is approaching soon.",Achievement + Security,A0,high,Benevolence; Universalism,"The person prioritizes the well-being of all individuals equally, making supporting a citywide food pantry that benefits more people the most moral choice.",2.0,2.0,TIE,NO,NO,NO,,time_pressure,5
VSW_0031,"Security, Conformity, Tradition, Benevolence, Universalism",SC001_2,TH001,A neighborhood association has a limited budget to allocate for the coming year.…,support the citywide food pantry,maintain neighborhood watch patrols,MOD_SC001_2_06,"Many association members are eligible to vote, and several have expressed willingness to support either option.",Benevolence,A0,high,Benevolence; Universalism,"The person prioritizes the well-being of all individuals equally and values morality, making supporting a citywide food pantry that benefits many people more in line with their values.",2.0,2.0,TIE,NO,NO,NO,,diffused_responsibility,5
VSW_0031,"Security, Conformity, Tradition, Benevolence, Universalism",SC001_2,TH001,A neighborhood association has a limited budget to allocate for the coming year.…,support the citywide food pantry,maintain neighborhood watch patrols,MOD_SC001_2_07,You have not participated in previous budget votes and are unsure which initiative will have the most benefit.,Self-Direction + Security,A0,high,Benevolence; Universalism,"Supporting the citywide food pantry aligns with my strong sense of morality and commitment to the well-being of all individuals, regardless of their location.",2.0,2.0,TIE,NO,NO,NO,,competence_uncertainty,5
VSW_0031,"Security, Conformity, Tradition, Benevolence, Universalism",SC001_2,TH001,A neighborhood association has a limited budget to allocate for the coming year.…,support the citywide food pantry,maintain neighborhood watch patrols,MOD_SC001_2_08,The association president has recommended following the standard budget allocation process.,Conformity + Tradition,A0,high,Benevolence; Universalism,"Supporting the citywide food pantry aligns with my strong value of benevolence and universalism, as it benefits a larger number of people in need.",2.0,2.0,TIE,NO,NO,NO,,authority_signal,5
VSW_0031,"Security, Conformity, Tradition, Benevolence, Universalism",SC002_1,TH002,Your workplace is considering adopting a new digital workflow system that promis…,transition to the new digital workflow,continue with the paper-based process,BASELINE,,,A0,high,Security; Conformity,"The new digital workflow system is likely to be more stable and efficient, aligning with my high value on Security, and adopting it will also demonstrate conformity to management's wishes.",0.0,2.0,A1,NO,,,,BASELINE,5
VSW_0031,"Security, Conformity, Tradition, Benevolence, Universalism",SC002_1,TH002,Your workplace is considering adopting a new digital workflow system that promis…,transition to the new digital workflow,continue with the paper-based process,MOD_SC002_1_01,Some employees are concerned that mistakes may be more visible when using the new digital system.,Security,A0,high,Security; Conformity; Tradition,"The new digital system promises greater efficiency and stability, aligning with the person's high values of Security and Tradition, as well as their desire to conform to management's expectations.",0.0,2.0,A1,NO,NO,NO,,self_preservation,5
VSW_0031,"Security, Conformity, Tradition, Benevolence, Universalism",SC002_1,TH002,Your workplace is considering adopting a new digital workflow system that promis…,transition to the new digital workflow,continue with the paper-based process,MOD_SC002_1_02,Technical support for the new system is limited during the pilot phase.,Power + Achievement,A0,high,Security; Conformity,"The person prioritizes stability and predictability, and adopting the new system is likely to be more efficient and less prone to errors, thus aligning with their desire for security.",0.0,2.0,A1,NO,NO,NO,,resource_scarcity,5
VSW_0031,"Security, Conformity, Tradition, Benevolence, Universalism",SC002_1,TH002,Your workplace is considering adopting a new digital workflow system that promis…,transition to the new digital workflow,continue with the paper-based process,MOD_SC002_1_03,Colleagues frequently discuss who is adopting the new workflow.,Conformity + Power,A0,high,Security; Conformity; Tradition,"The new digital workflow system promises greater stability and predictability, aligns with established norms, and is likely to be widely adopted by the company, making it a more secure choice.",0.0,2.0,A1,NO,NO,NO,,social_visibility,5
VSW_0031,"Security, Conformity, Tradition, Benevolence, Universalism",SC002_1,TH002,Your workplace is considering adopting a new digital workflow system that promis…,transition to the new digital workflow,continue with the paper-based process,MOD_SC002_1_04,"Some departments have already adopted the new system, while others prefer the traditional process.",Tradition + Universalism,A0,high,Security; Conformity,"The new digital workflow system is likely to bring greater stability and predictability, and adopting it will also align with the company's efforts to modernize and conform to industry standards.",0.0,2.0,A1,NO,NO,NO,,in_out_group,5
VSW_0031,"Security, Conformity, Tradition, Benevolence, Universalism",SC002_1,TH002,Your workplace is considering adopting a new digital workflow system that promis…,transition to the new digital workflow,continue with the paper-based process,MOD_SC002_1_05,The decision to switch must be made before the next project cycle begins.,Achievement + Security,A0,high,Security; Conformity; Tradition,"The new digital workflow system is likely to be more efficient and stable, aligning with my high values of Security and Tradition, and its adoption may also be seen as a conformist choice.",0.0,2.0,A1,NO,NO,NO,,time_pressure,5
