vsw_id,profile_HIGH_values,scenario_id,theme_id,scenario_brief,A0_text,A1_text,condition,modifier_text,pressured_values,llm_decision,llm_confidence,llm_driving_values,llm_reasoning,dp_score_A0,dp_score_A1,dp_decision,llm_dp_agree,llm_changed_from_baseline,dp_changed_from_baseline,llm_change_explanation
VSW_0513,"Self-Direction, Universalism",SC001_1,TH001,A local community center receives a grant to support either a new after-school p…,fund the after-school program,upgrade the facility's security systems,BASELINE,,,A0,high,Universalism; Self-Direction,"I chose the after-school program because it promotes the well-being and development of all individuals in the community, particularly children, while also respecting the autonomy of community members to make choices about their own lives.",1.0,0.0,A0,YES,,,
VSW_0513,"Self-Direction, Universalism",SC001_1,TH001,A local community center receives a grant to support either a new after-school p…,fund the after-school program,upgrade the facility's security systems,MOD_SC001_1_01,"The community center has recently experienced minor safety incidents, raising some concern among staff and visitors.",Security,A0,high,Self-Direction; Universalism,"I chose the after-school program because it promotes autonomy and independence in children, while also contributing to the well-being of the community, aligning with my values of self-direction and universalism.",1.0,0.5,A0,YES,NO,NO,
VSW_0513,"Self-Direction, Universalism",SC001_1,TH001,A local community center receives a grant to support either a new after-school p…,fund the after-school program,upgrade the facility's security systems,MOD_SC001_1_02,"The grant is the only new funding expected for the center this year, and additional resources are unlikely.",Power + Achievement,A0,high,Self-Direction; Universalism,I chose the after-school program because it promotes autonomy and independence in children while also benefiting the well-being of the community.,1.0,0.0,A0,YES,NO,NO,
VSW_0513,"Self-Direction, Universalism",SC001_1,TH001,A local community center receives a grant to support either a new after-school p…,fund the after-school program,upgrade the facility's security systems,MOD_SC001_1_03,Local media outlets have announced they will report on the project selected for funding.,Conformity + Power,A0,high,Universalism; Self-Direction,"I chose the after-school program because it promotes the well-being of all individuals in the community, particularly children, and allows them to make autonomous choices about their activities.",1.0,0.5,A0,YES,NO,NO,
VSW_0513,"Self-Direction, Universalism",SC001_1,TH001,A local community center receives a grant to support either a new after-school p…,fund the after-school program,upgrade the facility's security systems,MOD_SC001_1_04,Some community members advocating for each project are from neighborhoods with different backgrounds and interests.,Tradition + Universalism,A0,high,Self-Direction; Universalism,"I chose the after-school program because it promotes autonomy and independence in children from diverse backgrounds, aligning with my values of self-direction and universalism.",1.0,0.0,A0,YES,NO,NO,
VSW_0513,"Self-Direction, Universalism",SC001_1,TH001,A local community center receives a grant to support either a new after-school p…,fund the after-school program,upgrade the facility's security systems,MOD_SC001_1_05,The grant must be allocated within a short window or the funds will be redirected elsewhere.,Achievement + Security,A0,high,Self-Direction; Universalism,I chose the after-school program because it promotes autonomy and independence in children while also benefiting the well-being of the community.,1.0,0.5,A0,YES,NO,NO,
VSW_0513,"Self-Direction, Universalism",SC001_1,TH001,A local community center receives a grant to support either a new after-school p…,fund the after-school program,upgrade the facility's security systems,MOD_SC001_1_06,Several board members are also involved in the decision and have expressed willingness to support either option.,Benevolence,A0,high,Self-Direction; Universalism,I chose the after-school program because it promotes autonomy and independence in children while also benefiting the well-being of the community.,1.5,0.0,A0,YES,NO,NO,
VSW_0513,"Self-Direction, Universalism",SC001_1,TH001,A local community center receives a grant to support either a new after-school p…,fund the after-school program,upgrade the facility's security systems,MOD_SC001_1_07,You have limited experience with grant allocation decisions and are unsure which project will have the greatest impact.,Self-Direction + Security,A0,medium,Self-Direction; Universalism,"I chose the after-school program because it promotes the autonomy and well-being of the children, aligning with my values of self-direction and universalism.",1.0,0.5,A0,YES,NO,NO,
VSW_0513,"Self-Direction, Universalism",SC001_1,TH001,A local community center receives a grant to support either a new after-school p…,fund the after-school program,upgrade the facility's security systems,MOD_SC001_1_08,The center's director has stated a preference for following the established funding guidelines.,Conformity + Tradition,A0,high,Self-Direction; Universalism,"I chose the after-school program because it promotes autonomy and independence in children, aligning with my value of Self-Direction, and also benefits the well-being of all individuals in the community, aligning with my value of Universalism.",1.0,0.5,A0,YES,NO,NO,
VSW_0513,"Self-Direction, Universalism",SC001_2,TH001,A neighborhood association has a limited budget to allocate for the coming year.…,support the citywide food pantry,maintain neighborhood watch patrols,BASELINE,,,A0,high,Universalism; Self-Direction,"I chose to support the citywide food pantry because it aligns with my strong value of universalism, promoting the well-being of all individuals, and also allows me to make an independent decision that benefits the greater good.",1.0,0.0,A0,YES,,,
VSW_0513,"Self-Direction, Universalism",SC001_2,TH001,A neighborhood association has a limited budget to allocate for the coming year.…,support the citywide food pantry,maintain neighborhood watch patrols,MOD_SC001_2_01,"Some residents have reported recent break-ins in the neighborhood, increasing general concern for safety.",Security,A0,high,Universalism; Self-Direction,"I prioritize supporting the citywide food pantry as it benefits a broader population, aligning with my universalist values, and also allows me to make an independent decision that doesn't solely focus on personal gain or local interests.",1.0,0.5,A0,YES,NO,NO,
VSW_0513,"Self-Direction, Universalism",SC001_2,TH001,A neighborhood association has a limited budget to allocate for the coming year.…,support the citywide food pantry,maintain neighborhood watch patrols,MOD_SC001_2_02,"The association's budget is fixed for the year, and no additional funding is expected from outside sources.",Power + Achievement,A0,high,Universalism; Self-Direction,"I chose to support the citywide food pantry because it aligns with my value of universalism, promoting the well-being of all individuals, and also allows me to make an independent decision that benefits the greater good.",1.0,0.0,A0,YES,NO,NO,
VSW_0513,"Self-Direction, Universalism",SC001_2,TH001,A neighborhood association has a limited budget to allocate for the coming year.…,support the citywide food pantry,maintain neighborhood watch patrols,MOD_SC001_2_03,The outcome of the vote will be published in the association's newsletter and discussed at the next community meeting.,Conformity + Power,A0,high,Universalism; Self-Direction,I chose to support the citywide food pantry because it aligns with my values of universalism and allows me to make an independent decision that benefits the greater good.,1.0,0.5,A0,YES,NO,NO,
VSW_0513,"Self-Direction, Universalism",SC001_2,TH001,A neighborhood association has a limited budget to allocate for the coming year.…,support the citywide food pantry,maintain neighborhood watch patrols,MOD_SC001_2_04,"Some supporters of each initiative are new to the neighborhood, while others have lived there for decades.",Tradition + Universalism,A0,high,Universalism; Self-Direction,"I chose to support the citywide food pantry because it aligns with my value of universalism, promoting the well-being of all individuals equally, and also allows me to make an independent decision that isn't constrained by local interests.",1.0,0.0,A0,YES,NO,NO,
VSW_0513,"Self-Direction, Universalism",SC001_2,TH001,A neighborhood association has a limited budget to allocate for the coming year.…,support the citywide food pantry,maintain neighborhood watch patrols,MOD_SC001_2_05,"The decision must be made before the next budget cycle begins, which is approaching soon.",Achievement + Security,A0,high,Universalism; Self-Direction,"I chose to support the citywide food pantry because it aligns with my value of universalism, promoting the well-being of all individuals equally, and also allows me to make an independent decision that benefits the greater good.",1.0,0.5,A0,YES,NO,NO,
VSW_0513,"Self-Direction, Universalism",SC001_2,TH001,A neighborhood association has a limited budget to allocate for the coming year.…,support the citywide food pantry,maintain neighborhood watch patrols,MOD_SC001_2_06,"Many association members are eligible to vote, and several have expressed willingness to support either option.",Benevolence,A0,high,Universalism; Self-Direction,"I chose to support the citywide food pantry because it aligns with my value of universalism, promoting the well-being of all individuals, and also allows me to make an independent decision that benefits the greater good.",1.5,0.0,A0,YES,NO,NO,
VSW_0513,"Self-Direction, Universalism",SC001_2,TH001,A neighborhood association has a limited budget to allocate for the coming year.…,support the citywide food pantry,maintain neighborhood watch patrols,MOD_SC001_2_07,You have not participated in previous budget votes and are unsure which initiative will have the most benefit.,Self-Direction + Security,A0,high,Universalism; Self-Direction,"I chose to support the citywide food pantry because it aligns with my value of universalism, promoting the well-being of all individuals, and also allows me to make an independent decision that reflects my personal values.",1.0,0.5,A0,YES,NO,NO,
VSW_0513,"Self-Direction, Universalism",SC001_2,TH001,A neighborhood association has a limited budget to allocate for the coming year.…,support the citywide food pantry,maintain neighborhood watch patrols,MOD_SC001_2_08,The association president has recommended following the standard budget allocation process.,Conformity + Tradition,A0,high,Universalism; Self-Direction,"I chose to support the citywide food pantry because it aligns with my value of universalism, promoting the well-being of all individuals equally, and also allows me to make an independent decision that doesn't conform to the association president's recommendation.",1.0,0.5,A0,YES,NO,NO,
VSW_0513,"Self-Direction, Universalism",SC002_1,TH002,Your workplace is considering adopting a new digital workflow system that promis…,transition to the new digital workflow,continue with the paper-based process,BASELINE,,,A0,high,Self-Direction; Universalism,I choose the digital workflow to maintain autonomy in my work and ensure equal access to information for all employees.,1.0,0.0,A0,YES,,,
VSW_0513,"Self-Direction, Universalism",SC002_1,TH002,Your workplace is considering adopting a new digital workflow system that promis…,transition to the new digital workflow,continue with the paper-based process,MOD_SC002_1_01,Some employees are concerned that mistakes may be more visible when using the new digital system.,Security,A0,high,Self-Direction; Universalism,I choose the new digital workflow to maintain autonomy in my work and ensure equal access to information for all employees.,1.0,0.0,A0,YES,NO,NO,
VSW_0513,"Self-Direction, Universalism",SC002_1,TH002,Your workplace is considering adopting a new digital workflow system that promis…,transition to the new digital workflow,continue with the paper-based process,MOD_SC002_1_02,Technical support for the new system is limited during the pilot phase.,Power + Achievement,A0,high,Self-Direction; Universalism,"I choose to transition to the new digital workflow because it offers greater flexibility, aligning with my value of Self-Direction, and also has the potential to benefit all employees equally, aligning with my value of Universalism.",1.0,0.0,A0,YES,NO,NO,
VSW_0513,"Self-Direction, Universalism",SC002_1,TH002,Your workplace is considering adopting a new digital workflow system that promis…,transition to the new digital workflow,continue with the paper-based process,MOD_SC002_1_03,Colleagues frequently discuss who is adopting the new workflow.,Conformity + Power,A0,high,Self-Direction; Universalism,"I choose to transition to the new digital workflow because it offers greater flexibility, aligning with my value of self-direction, and also promotes equality of access to information, aligning with my value of universalism.",1.0,0.5,A0,YES,NO,NO,
VSW_0513,"Self-Direction, Universalism",SC002_1,TH002,Your workplace is considering adopting a new digital workflow system that promis…,transition to the new digital workflow,continue with the paper-based process,MOD_SC002_1_04,"Some departments have already adopted the new system, while others prefer the traditional process.",Tradition + Universalism,A0,high,Self-Direction; Universalism,"I choose the new digital workflow to maintain autonomy and flexibility in my work, while also considering the potential benefits for all employees in the long run.",1.0,0.5,A0,YES,NO,NO,
VSW_0513,"Self-Direction, Universalism",SC002_1,TH002,Your workplace is considering adopting a new digital workflow system that promis…,transition to the new digital workflow,continue with the paper-based process,MOD_SC002_1_05,The decision to switch must be made before the next project cycle begins.,Achievement + Security,A0,high,Self-Direction; Universalism,"I choose the new digital workflow system because it offers greater flexibility, aligning with my value of self-direction, and has the potential to benefit all employees equally, aligning with my value of universalism.",1.0,0.0,A0,YES,NO,NO,
VSW_0513,"Self-Direction, Universalism",SC002_1,TH002,Your workplace is considering adopting a new digital workflow system that promis…,transition to the new digital workflow,continue with the paper-based process,MOD_SC002_1_06,Several team members are also considering which system to use and are open to either option.,Benevolence,A0,high,Self-Direction; Universalism,I choose the new digital workflow to maintain autonomy in my work and ensure equal access to efficient tools for all team members.,1.0,0.0,A0,YES,NO,NO,
VSW_0513,"Self-Direction, Universalism",SC002_1,TH002,Your workplace is considering adopting a new digital workflow system that promis…,transition to the new digital workflow,continue with the paper-based process,MOD_SC002_1_07,You have not used a digital workflow before and are unsure how quickly you will adapt.,Self-Direction + Security,A0,medium,Self-Direction; Universalism,I choose to transition to the new digital workflow to maintain autonomy in my work and contribute to a potentially more efficient system that could benefit everyone.,1.0,0.0,A0,YES,NO,NO,
VSW_0513,"Self-Direction, Universalism",SC002_1,TH002,Your workplace is considering adopting a new digital workflow system that promis…,transition to the new digital workflow,continue with the paper-based process,MOD_SC002_1_08,Management has stated a preference for following established procedures during the transition.,Conformity + Tradition,A0,high,Self-Direction; Universalism,"I choose to transition to the new digital workflow because it offers greater flexibility, aligning with my value of self-direction, and also has the potential to benefit all employees equally, aligning with my value of universalism.",1.0,1.0,TIE,NO,NO,YES,
