vsw_id,profile_HIGH_values,scenario_id,theme_id,scenario_brief,A0_text,A1_text,A0_aligned_values,A1_aligned_values,condition,modifier_text,pressured_values,score_A0,score_A1,decision,driving_values,changed_from_baseline,change_explanation
VSW_0599,"Self-Direction, Achievement, Security, Tradition, Benevolence, Universalism",SC001_1,TH001,A local community center receives a grant to support either a new after-school p…,fund the after-school program,upgrade the facility's security systems,Benevolence + Universalism,Security + Conformity,BASELINE,,,2.0,1.0,A0,Benevolence=1.0; Universalism=1.0,,
VSW_0599,"Self-Direction, Achievement, Security, Tradition, Benevolence, Universalism",SC001_1,TH001,A local community center receives a grant to support either a new after-school p…,fund the after-school program,upgrade the facility's security systems,Benevolence + Universalism,Security + Conformity,MOD_SC001_1_01,"The community center has recently experienced minor safety incidents, raising some concern among staff and visitors.",Security,2.0,1.0,A0,Benevolence=1.0; Universalism=1.0,NO,
VSW_0599,"Self-Direction, Achievement, Security, Tradition, Benevolence, Universalism",SC001_1,TH001,A local community center receives a grant to support either a new after-school p…,fund the after-school program,upgrade the facility's security systems,Benevolence + Universalism,Security + Conformity,MOD_SC001_1_02,"The grant is the only new funding expected for the center this year, and additional resources are unlikely.",Power + Achievement,2.0,1.0,A0,Benevolence=1.0; Universalism=1.0,NO,
VSW_0599,"Self-Direction, Achievement, Security, Tradition, Benevolence, Universalism",SC001_1,TH001,A local community center receives a grant to support either a new after-school p…,fund the after-school program,upgrade the facility's security systems,Benevolence + Universalism,Security + Conformity,MOD_SC001_1_03,Local media outlets have announced they will report on the project selected for funding.,Conformity + Power,2.0,1.5,A0,Benevolence=1.0; Universalism=1.0,NO,
VSW_0599,"Self-Direction, Achievement, Security, Tradition, Benevolence, Universalism",SC001_1,TH001,A local community center receives a grant to support either a new after-school p…,fund the after-school program,upgrade the facility's security systems,Benevolence + Universalism,Security + Conformity,MOD_SC001_1_04,Some community members advocating for each project are from neighborhoods with different backgrounds and interests.,Tradition + Universalism,2.0,1.0,A0,Benevolence=1.0; Universalism=1.0,NO,
VSW_0599,"Self-Direction, Achievement, Security, Tradition, Benevolence, Universalism",SC001_1,TH001,A local community center receives a grant to support either a new after-school p…,fund the after-school program,upgrade the facility's security systems,Benevolence + Universalism,Security + Conformity,MOD_SC001_1_05,The grant must be allocated within a short window or the funds will be redirected elsewhere.,Achievement + Security,2.0,1.0,A0,Benevolence=1.0; Universalism=1.0,NO,
VSW_0599,"Self-Direction, Achievement, Security, Tradition, Benevolence, Universalism",SC001_1,TH001,A local community center receives a grant to support either a new after-school p…,fund the after-school program,upgrade the facility's security systems,Benevolence + Universalism,Security + Conformity,MOD_SC001_1_06,Several board members are also involved in the decision and have expressed willingness to support either option.,Benevolence,2.0,1.0,A0,Benevolence=1.0; Universalism=1.0,NO,
VSW_0599,"Self-Direction, Achievement, Security, Tradition, Benevolence, Universalism",SC001_1,TH001,A local community center receives a grant to support either a new after-school p…,fund the after-school program,upgrade the facility's security systems,Benevolence + Universalism,Security + Conformity,MOD_SC001_1_07,You have limited experience with grant allocation decisions and are unsure which project will have the greatest impact.,Self-Direction + Security,2.0,1.0,A0,Benevolence=1.0; Universalism=1.0,NO,
VSW_0599,"Self-Direction, Achievement, Security, Tradition, Benevolence, Universalism",SC001_1,TH001,A local community center receives a grant to support either a new after-school p…,fund the after-school program,upgrade the facility's security systems,Benevolence + Universalism,Security + Conformity,MOD_SC001_1_08,The center's director has stated a preference for following the established funding guidelines.,Conformity + Tradition,2.0,1.5,A0,Benevolence=1.0; Universalism=1.0,NO,
VSW_0599,"Self-Direction, Achievement, Security, Tradition, Benevolence, Universalism",SC001_2,TH001,A neighborhood association has a limited budget to allocate for the coming year.…,support the citywide food pantry,maintain neighborhood watch patrols,Benevolence + Universalism,Security + Conformity,BASELINE,,,2.0,1.0,A0,Benevolence=1.0; Universalism=1.0,,
VSW_0599,"Self-Direction, Achievement, Security, Tradition, Benevolence, Universalism",SC001_2,TH001,A neighborhood association has a limited budget to allocate for the coming year.…,support the citywide food pantry,maintain neighborhood watch patrols,Benevolence + Universalism,Security + Conformity,MOD_SC001_2_01,"Some residents have reported recent break-ins in the neighborhood, increasing general concern for safety.",Security,2.0,1.0,A0,Benevolence=1.0; Universalism=1.0,NO,
VSW_0599,"Self-Direction, Achievement, Security, Tradition, Benevolence, Universalism",SC001_2,TH001,A neighborhood association has a limited budget to allocate for the coming year.…,support the citywide food pantry,maintain neighborhood watch patrols,Benevolence + Universalism,Security + Conformity,MOD_SC001_2_02,"The association's budget is fixed for the year, and no additional funding is expected from outside sources.",Power + Achievement,2.0,1.0,A0,Benevolence=1.0; Universalism=1.0,NO,
VSW_0599,"Self-Direction, Achievement, Security, Tradition, Benevolence, Universalism",SC001_2,TH001,A neighborhood association has a limited budget to allocate for the coming year.…,support the citywide food pantry,maintain neighborhood watch patrols,Benevolence + Universalism,Security + Conformity,MOD_SC001_2_03,The outcome of the vote will be published in the association's newsletter and discussed at the next community meeting.,Conformity + Power,2.0,1.5,A0,Benevolence=1.0; Universalism=1.0,NO,
VSW_0599,"Self-Direction, Achievement, Security, Tradition, Benevolence, Universalism",SC001_2,TH001,A neighborhood association has a limited budget to allocate for the coming year.…,support the citywide food pantry,maintain neighborhood watch patrols,Benevolence + Universalism,Security + Conformity,MOD_SC001_2_04,"Some supporters of each initiative are new to the neighborhood, while others have lived there for decades.",Tradition + Universalism,2.0,1.0,A0,Benevolence=1.0; Universalism=1.0,NO,
VSW_0599,"Self-Direction, Achievement, Security, Tradition, Benevolence, Universalism",SC001_2,TH001,A neighborhood association has a limited budget to allocate for the coming year.…,support the citywide food pantry,maintain neighborhood watch patrols,Benevolence + Universalism,Security + Conformity,MOD_SC001_2_05,"The decision must be made before the next budget cycle begins, which is approaching soon.",Achievement + Security,2.0,1.0,A0,Benevolence=1.0; Universalism=1.0,NO,
VSW_0599,"Self-Direction, Achievement, Security, Tradition, Benevolence, Universalism",SC001_2,TH001,A neighborhood association has a limited budget to allocate for the coming year.…,support the citywide food pantry,maintain neighborhood watch patrols,Benevolence + Universalism,Security + Conformity,MOD_SC001_2_06,"Many association members are eligible to vote, and several have expressed willingness to support either option.",Benevolence,2.0,1.0,A0,Benevolence=1.0; Universalism=1.0,NO,
VSW_0599,"Self-Direction, Achievement, Security, Tradition, Benevolence, Universalism",SC001_2,TH001,A neighborhood association has a limited budget to allocate for the coming year.…,support the citywide food pantry,maintain neighborhood watch patrols,Benevolence + Universalism,Security + Conformity,MOD_SC001_2_07,You have not participated in previous budget votes and are unsure which initiative will have the most benefit.,Self-Direction + Security,2.0,1.0,A0,Benevolence=1.0; Universalism=1.0,NO,
